,ZTFID,fcqfid,bl_pre,bl_post,Consistent,Warning,Missing_pre,Missing_post,N_pre_peak,N_post_peak
0,ZTF19aauplxw,4281411,5.50211298630599,18.7276297575601,-1,,0,0,23,67
1,ZTF19aauplxw,4281412,-3.13002018060943,-7.42119553197239,1,,0,0,47,309
2,ZTF19aauplxw,4790231,2.77824607436675,3.83266182681038,1,,0,0,31,133
3,ZTF19aauplxw,4790232,0.624086709762527,-13.894819361586851,-1,,0,0,57,356
4,ZTF19aauplxw,4790233,-43.1676488249791,-43.9976515279792,1,,0,0,11,35
5,ZTF19abdvpfj,6801201,-0.0334269861958544,9.16668227138568,-1,,0,0,401,37
6,ZTF19abdvpfj,6801202,7.74237568813169,14.827725020676251,-1,,0,0,402,32
7,ZTF19abdvpfj,6801203,6.95550804961325,2.480993917891155,1,,0,0,29,10
8,ZTF19abdvpfj,17210202,-3.8146129769848205,18.69059141531085,-1,,0,0,16,6
9,ZTF19abyfbik,5871011,9.91700325681816,16.26982870740695,-1,,0,0,377,88
10,ZTF19abyfbik,5871012,-5.9301635872276,-14.4009326343993,-1,,0,0,410,97
11,ZTF19abyfbik,5871013,3.61958531265852,9.84617164729046,1,,0,0,33,35
12,ZTF19abyfbik,16320111,-1.2046855386455952,-13.27221930987633,1,,0,0,6,4
13,ZTF19abyfbik,16320112,-7.26325200228541,-57.2925708263061,1,,0,0,3,3
14,ZTF19acfsqjx,8650721,15.00668709138655,22.301771024674,-1,,0,0,248,117
15,ZTF19acfsqjx,8650722,-22.8775049858972,-11.0709007296549,-1,,0,0,272,117
16,ZTF19acfsqjx,8650723,-0.5585013480371479,17.72027039686955,-1,,0,0,44,56
17,ZTF19acnfjyw,6471501,-1.71471174316285,1.23785216081484,1,,0,0,65,155
18,ZTF19acnfjyw,6471502,6.4646898599784155,11.20100296420515,1,,0,0,76,170
19,ZTF19acnfjyw,6471503,-3.315990259396565,-12.4830020714724,-1,,0,0,34,41
20,ZTF19acnfjyw,6930331,-6.90742140110241,-10.0705235608295,1,,0,0,71,51
21,ZTF19acnfjyw,6930332,-11.2428587657521,-5.964017001482205,1,,0,0,81,48
22,ZTF19acnfjyw,6930333,-3.11818798576395,-0.284691604065939,1,,0,0,33,39
23,ZTF19abidfsb,3430701,10.553383329448565,0.4104828701578315,1,,0,0,44,54
24,ZTF19abidfsb,3430702,-1.43819012098925,3.234266686242805,1,,0,0,40,76
25,ZTF19abidfsb,3430703,,-31.474787917547,0,,1,0,0,7
26,ZTF19abidfsb,13351611,,,0,,1,1,0,2
27,ZTF19aaeoqst,6330401,3.181370839912235,5.031911339225445,1,,0,0,272,294
28,ZTF19aaeoqst,6330402,6.31328205552397,9.39181821004558,1,,0,0,280,323
29,ZTF19aaeoqst,6330403,6.93990615496248,5.93959876913413,1,,0,0,21,85
30,ZTF19aaeoqst,16290911,,,0,,1,1,0,2
31,ZTF19aaeoqst,16290912,,-389.262341176375,0,,1,0,0,5
32,ZTF19aaksxgp,4251031,2.8631944397913,9.2493007803636,1,,0,0,18,73
33,ZTF19aaksxgp,4251032,14.525993192850699,-4.86033935598884,-1,,0,0,26,106
34,ZTF19aaksxgp,4251033,-119.664304017254,-147.521072203187,-1,,0,0,5,28
35,ZTF19aadnwvc,5791011,0.6717014673322325,-0.3370606649512605,1,,0,0,30,168
36,ZTF19aadnwvc,5791012,0.30151661372909944,-8.07703949939383,1,,0,0,26,250
37,ZTF19aadnwvc,5791013,-0.2935621274681899,11.1144589197855,-1,,0,0,14,55
38,ZTF19aaloqmd,6260921,-4.09293593811659,-13.9066639246177,-1,,0,0,62,159
39,ZTF19aaloqmd,6260922,0.9404482145619031,3.6964306480376,1,,0,0,68,279
40,ZTF19aaloqmd,6260923,9.03622517330654,-13.8645554804224,-1,,0,0,11,51
41,ZTF19aaloqmd,16710331,-26.97011011154935,-21.6493688712271,1,,0,0,4,5
42,ZTF19aaloqmd,16710332,,-5.822686086780415,0,,1,0,0,8
43,ZTF19abwsecm,4031121,7.442936138405869,-29.410841097432304,-1,,0,0,64,32
44,ZTF19abwsecm,4031122,-10.9278689607982,-23.415744912514,1,,0,0,83,25
45,ZTF19abwsecm,4031123,,-1311.190039403105,0,,1,0,0,14
46,ZTF19abcegvm,3421631,3.53864128561102,-10.114156686490304,1,,0,0,27,32
47,ZTF19abcegvm,3421632,-6.27227458080805,5.967174195460795,1,,0,0,28,42
48,ZTF19abcegvm,3421633,-241.485734503572,-240.170343550508,1,,0,0,11,21
49,ZTF19acjuomg,8260111,-9.94776574279078,-10.7156221241858,1,,0,0,493,147
50,ZTF19acjuomg,8260112,4.29253537564964,6.70730779501925,1,,0,0,476,141
51,ZTF19acjuomg,8260113,9.419057197118704,-2.01583776971959,-1,,0,0,48,53
52,ZTF19acjuomg,18321201,3.49030803940734,29.71588063594365,-1,,0,0,9,8
53,ZTF19acjuomg,18321202,0.990214359825475,,0,,0,1,47,0
54,ZTF19abafmwj,7241311,2.082586124531775,-7.2309421368239,-1,,0,0,432,389
55,ZTF19abafmwj,7241312,-2.16131320840646,-11.911486757465699,-1,,0,0,429,416
56,ZTF19abafmwj,7241313,2.252130980729783,-7.66848484964979,1,,0,0,28,60
57,ZTF19abafmwj,17630711,,-44.4376765962199,0,,1,0,2,13
58,ZTF19abafmwj,17630712,-87.6497774315973,,0,,0,1,25,0
59,ZTF19abaosan,4791301,-2.69346279010009,-20.7180206402322,-1,,0,0,34,115
60,ZTF19abaosan,4791302,3.79068281465074,-26.0299043105799,-1,,0,0,59,280
61,ZTF19abaosan,4791303,1.11163881095188,-11.82802710522076,1,,0,0,13,32
62,ZTF19abaosan,4801611,2.520026298071135,-5.624389022737651,1,,0,0,42,100
63,ZTF19abaosan,4801612,-10.2797760252879,-4.39995397076636,1,,0,0,61,221
64,ZTF19abaosan,4801613,-3.2325710835587227,21.29461109204635,-1,,0,0,14,34
65,ZTF19abyzuos,8561001,-2.21743179461689,2.51255821425194,1,,0,0,127,67
66,ZTF19abyzuos,8561002,15.4718014002284,17.23798957938635,1,,0,0,153,68
67,ZTF19abyzuos,18830211,,,0,,1,1,0,0
68,ZTF19abyzuos,18830212,,,0,,1,1,0,0
69,ZTF19abwsdic,3441121,-3.67698847698274,14.9640411476881,-1,,0,0,60,33
70,ZTF19abwsdic,3441122,3.077617906355875,10.66525644220515,1,,0,0,70,38
71,ZTF19abwsdic,3441123,,-38.982184983984254,0,,1,0,0,6
72,ZTF19abwsdic,13870231,,-4.36735149426976,0,,1,0,0,25
73,ZTF19abwsdic,13870232,,-56.8321118072757,0,,1,0,0,25
74,ZTF19aavhxby,4270931,-4.686560953927288,13.7208410590301,1,,0,0,40,31
75,ZTF19aavhxby,4270932,-36.0033629397786,-6.24916671252194,-1,,0,0,49,33
76,ZTF19aavhxby,4270933,-787.7484654716385,-1052.39995072601,-1,,0,0,4,10
77,ZTF19aavhxby,4281221,-9.5488077883894,-43.136992673404905,-1,,0,0,27,28
78,ZTF19aavhxby,4281222,-32.2326755778532,-82.4175611258,-1,,0,0,49,165
79,ZTF19aadnxat,8210111,-6.80450167033841,-11.0108569316816,1,,0,0,169,175
80,ZTF19aadnxat,8210112,-13.3930729787162,-10.414678941133701,1,,0,0,142,164
81,ZTF19aadnxat,8210113,-7.45719802329918,9.57510490417051,-1,,0,0,19,52
82,ZTF19aabyuze,7891531,2.469955898032505,3.93960886430746,1,,0,0,126,143
83,ZTF19aabyuze,7891532,1.6129606843724549,-3.7168151577916353,-1,,0,0,128,158
84,ZTF19aabyuze,7891533,-114.246287910335,-120.6156591264445,1,,0,0,11,46
85,ZTF19aabyuze,18230521,-764.9637501469615,,0,,0,1,6,0
86,ZTF19aabyuze,18230522,,-986.534399874356,0,bad baseline,1,0,0,9
87,ZTF19aadolpe,6690211,4.699329893738615,7.777789507894861,1,,0,0,38,122
88,ZTF19aadolpe,6690212,-4.37696966796427,9.841012677758535,-1,,0,0,41,210
89,ZTF19aadolpe,6690213,66.5023305311591,-13.4961105321745,-1,,0,0,3,38
