ZTF-name,RA,DEC
ZTF18aabtxvd,119.22724605100001,34.2621147138
ZTF18aabssth,165.189096985,22.2875025453
ZTF18aabxlsv,157.46508442,9.01294532052
ZTF18aabtahy,179.812482315,42.5670189419
ZTF17aaajnki,186.45357651,33.5468753603
ZTF18aagrdcs,218.333260935,41.2673073898
ZTF18aagrtxs,198.60607254099997,50.9777091717
ZTF18aagstdc,237.51482480299998,42.088493089699995
ZTF18aagteoy,251.895474865,49.833500701300004
ZTF18aagtcxj,248.048162904,42.7133782422
ZTF18aagtevs,215.73056640299998,32.850653178499996
ZTF18aahfxnn,176.54982097400003,9.35499529527
ZTF18aagpzjk,119.854224016,16.4262582257
ZTF18aahesrp,128.939298471,28.2702540436
ZTF18aahfjdt,160.860343,11.090095709200002
ZTF18aahpbwz,142.845985487,17.807764872
ZTF18aahpbal,144.171018684,10.2377790677
ZTF18aahmhxu,176.76698131700002,19.5508050751
ZTF18aahptcq,162.318079799,26.3730924389
ZTF18aahfqbc,182.65924317,39.396631416999995
ZTF18aahheaj,195.11047293,18.6193699242
ZTF18aahhenr,207.36319914900002,26.4621048191
ZTF18aahhqih,138.73010522799999,46.9024364666
ZTF18aahfgyz,175.283286688,24.819548605700003
ZTF18aahfeiy,154.314863959,43.523385760699995
ZTF18aahfohe,184.02958774900003,50.8249685905
ZTF18aairuad,177.939730681,57.799488989
ZTF18aainvic,256.520501554,29.6683056977
ZTF18aahjafd,198.274446566,23.459341625500002
ZTF18aaisybp,204.12285812599998,47.5739871213
ZTF18aajtlbf,261.96764183700003,60.0955173209
ZTF18aahqkbt,123.860930972,45.592222099
ZTF18aahijwe,194.786619565,37.3102054368
ZTF18aaisyyp,197.865703644,65.6380929462
ZTF18aahvcby,184.00012581099998,12.687261940099999
ZTF18aakctzv,192.83271946099998,21.2302236117
ZTF18aahhzqn,178.754835016,32.0753595135
ZTF18aahfzea,181.361092928,20.2991149779
ZTF18aajqcue,208.786014766,58.4949860552
ZTF18aajpjdi,199.52762165400003,27.8734134515
ZTF18aalsiji,222.61109913299998,58.6624477859
ZTF18aakaaza,125.269369946,41.352367607800005
ZTF18aalpdyt,159.02674791,29.8697483209
ZTF18aachojf,129.956906341,48.7837563803
ZTF18aahqmsr,159.649653146,35.9711749027
ZTF18aamfrvy,224.28963874599998,19.6999014454
ZTF18aakrnvd,224.08432134900002,21.0624108602
ZTF18aamftst,217.81235899599997,17.1930008205
ZTF18aalcxig,269.959375423,40.8261831768
ZTF18aakzliv,260.479416108,29.309291605100004
ZTF18aakecej,203.773264799,53.8751960532
ZTF18aaiwsqa,239.17852185799998,29.8131888774
ZTF18aamigmk,269.41771428,50.0386537658
ZTF18aakvxqj,256.023920223,66.8331200991
ZTF18aagrkwn,251.17725440799998,26.320333407800003
ZTF18aapxjzs,268.241108477,16.8736103743
ZTF18aahtkze,168.580183363,34.478827923000004
ZTF18aapictz,179.90419296299999,27.5305698557
ZTF18aaphzut,187.323286178,6.341147991819999
ZTF18aaotzhu,223.206419913,18.0802685064
ZTF18aaovbiy,231.659605735,28.8662670829
ZTF18aaqehoc,228.18559934400002,40.1099579231
ZTF18aaqcqvr,193.852764737,45.5783960717
ZTF18aaqfqaa,233.006490653,68.2419262226
ZTF18aaqcugm,202.053022714,53.916040868500005
ZTF18aapifti,177.01765824,30.360071815799998
ZTF18aaqjovh,178.18174496700001,25.675027901500002
ZTF18aaqkoyr,166.066674532,50.0306373677
ZTF18aahqrur,146.888522941,10.085745972
ZTF18aakaljn,145.294357848,24.0224682373
ZTF18aabilqu,115.63677862600001,49.809666351000004
ZTF18aabdjmb,178.093599771,43.9589373533
ZTF18aahjdnz,199.59906087,33.7937226453
ZTF18aakqtwt,196.51835932900002,55.6561324866
ZTF18aagrsry,199.90756154599998,40.3860800853
ZTF18aaptavy,297.664217434,46.0945117854
ZTF18aaqqhis,155.76001904,45.7025111432
ZTF18aaqskoy,255.90775762,36.429204712600004
ZTF18aaqqoqs,207.970375332,47.2569960225
ZTF18aaqpkvx,118.76325551299999,14.3575637049
ZTF18aaqpjja,122.473481139,35.0773919138
ZTF18aapgrxo,280.805967344,45.2078290704
ZTF18aaojsvk,276.03697812400003,46.6714129685
ZTF18aaraifg,285.243460775,30.5965214766
ZTF18aaqznkg,277.30571580099996,31.1065451946
ZTF18aarcypa,167.459344118,28.9713902623
ZTF18aarbgdn,155.67126373,15.939111934000001
ZTF18aarbixk,149.754561675,29.358822437399997
ZTF18aarcygc,151.482749779,34.4978233204
ZTF18aarbify,155.087811991,29.412652216399998
ZTF18aakpnyt,195.08331756799998,61.6550229891
ZTF18aarcchg,175.96676840799998,22.4995317924
ZTF18aaqkqxi,167.96907324,39.6050532071
ZTF18aaqedfj,206.355046848,26.424239447399998
ZTF18aaqgadq,222.28614383200002,16.4576929051
ZTF18aataafd,214.83726060200001,36.1720830066
ZTF18aamyexb,188.156131738,66.4145437366
ZTF18aasuray,173.483081137,67.0186321245
ZTF18aajswer,257.772170069,39.1468114234
ZTF18aaqiivp,278.20711433599996,53.6727622063
ZTF18aatzygk,251.384196714,59.9186128837
ZTF18aatlfus,257.17641617,28.5206032085
ZTF18aasdted,261.41314978400004,59.446771306
ZTF18aaslhxt,276.10794189999996,44.130396302
ZTF18aarasof,277.68273258799996,42.3623158209
ZTF18aajrwju,266.490787463,44.4379181748
ZTF18aatyqds,279.304342708,36.9349846241
ZTF18aaumeys,214.312925734,59.2763735879
ZTF18aatxsvu,235.54336452200002,13.1326869927
ZTF18aaripcr,222.409532042,25.3701443948
ZTF18aauizcr,173.61614102099998,46.3626126194
ZTF18aaqgbju,236.566615044,29.0946079369
ZTF18aarxzmv,190.399688359,35.5769839304
ZTF18aapgbfm,261.437214384,45.50781734899999
ZTF18aaqjhqz,129.927584113,41.0153669008
ZTF18aauenwu,289.894636822,44.033955463999995
ZTF18aasxvsg,217.12900358299999,37.067838899499996
ZTF18aaroihe,173.26054182400003,62.7439691815
ZTF18aaunfqq,238.57998502799998,39.4539510627
ZTF18aauqdyb,278.560869557,32.9193188084
ZTF18aauxltf,224.369246543,5.84230331141
ZTF18aartimj,233.88792326900003,12.5679973648
ZTF18aauworo,239.671014087,21.1204957769
ZTF18aajnqmp,198.97984686200002,21.4226511169
ZTF18aarbgrh,151.19842225,14.7793243343
ZTF18aauuqrh,186.35934165400002,11.766756018499999
ZTF18aauhxce,177.568737242,51.4534301053
ZTF18aauxzle,215.64940127,74.8395414211
ZTF18aavjnfx,248.92814710099998,4.82593208639
ZTF18aavrmcg,165.626196931,55.5988453989
ZTF18aasufva,167.679249799,40.7897398696
ZTF18aavnvmp,204.696953459,30.9595913578
ZTF18aavnxar,194.344274484,26.8148427667
ZTF18aawczad,194.569506563,27.7292510371
ZTF18aawjywv,268.750239552,42.8983344043
ZTF18aaxdrjn,185.006864566,56.1588697603
ZTF18aaxcntm,247.04638812299999,39.8201133627
ZTF18aavrwhu,206.735219632,43.1372932817
ZTF18aavrzxp,215.449354363,48.166606
ZTF18aavjcpf,170.812111597,61.6288915662
ZTF18aauvnhh,213.343731811,22.5783282786
ZTF18aakgzot,247.66378353099998,53.4890458732
ZTF18aawyjjq,263.058843474,36.073993266100004
ZTF18aaupmks,291.911575022,61.947194634
ZTF18aaxavsk,264.583446896,67.8494710813
ZTF18aaxkqgy,277.738776609,29.8797984647
ZTF18aaxcxih,284.754191735,63.755203437700004
ZTF18aavskep,232.109018892,8.80616238246
ZTF18aasycpd,222.796027297,17.194206643199998
ZTF18aaqfziz,224.769037371,19.5872643565
ZTF18aawdpnm,213.829735754,16.8921677237
ZTF18aaxiuyp,241.394760258,32.6631924128
ZTF18aaxkjmm,236.371350996,35.855206978000005
ZTF18aawpcel,195.32102004799998,59.810031656899994
ZTF18aaxkfos,160.33798415799998,45.6703830881
ZTF18aaoecso,271.71117285,69.8244755435
ZTF18aaxmixe,216.667378075,7.618257936799999
ZTF18aavskyg,233.309550889,15.017495158
ZTF18aaxnqjb,207.342277472,21.0707420168
ZTF18aajupnt,233.28344644700002,44.535658139300004
ZTF18aavqdyq,268.434594532,40.755754372199995
ZTF18aaxsioa,252.41294366900001,45.4922893213
ZTF18aaxxyhp,271.95479701200003,35.8834872221
ZTF18aaydmkh,260.161097735,52.0419504063
ZTF18aaxnkos,156.527260815,47.2742732151
ZTF18aawxlxf,165.570609697,58.234016771
ZTF18aayjvve,226.069174999,35.8150313554
ZTF18aaxqyki,232.576164915,57.6584846775
ZTF18aaykjei,244.91235199099998,49.185174785600005
ZTF18aapzqup,291.259061096,50.720485644300005
ZTF18aaydbyc,281.863071736,14.533789025599999
ZTF18aaxxewy,216.18918744200002,5.83982120604
ZTF18aawxgqp,164.13085703299998,18.2280632421
ZTF18aaxjuwy,188.122286007,4.88894140204
ZTF18aayoxjs,321.433040485,63.3883297365
ZTF18aalpcph,168.096966165,30.580007659099998
ZTF18aayidfz,198.66775895599997,24.005756568899997
ZTF18aaypxlu,188.37978763099997,27.545902456799997
ZTF18aaygwqd,239.41375941200002,78.6122392265
ZTF18aayxupv,183.38737545599997,25.451523981100003
ZTF18aayivxm,183.449645655,40.715686458600004
ZTF18aayivoq,180.47855770200002,36.8951718244
ZTF18aaqduja,200.178251995,60.257141767700006
ZTF18aayjyub,200.116559231,62.300824001
ZTF18aaxxfah,223.70167563099997,5.50743175034
ZTF18aaxxfgs,232.808555533,16.8927063662
ZTF18aaylcvo,232.04345359200002,16.9291008926
ZTF18aaykmzg,224.878285819,28.1830026157
ZTF18aaylbyr,235.55796672,18.583328459
ZTF18aaylbjm,249.633324885,5.1264926183499995
ZTF18aavohdq,239.62236845799998,27.28724393
ZTF18aaylcgr,239.578131373,25.856892555599998
ZTF18aazabmh,254.905134316,59.0732965405
ZTF18aazcuno,297.198345482,48.8732676229
ZTF18aazixbw,244.741580535,56.71688835770001
ZTF18aazblzy,242.83947736099998,36.9942995495
ZTF18aazjztm,260.101632951,55.2146443021
ZTF18aaxvpsw,224.97666239999998,39.0787973714
ZTF18aaxwjmp,252.90568863599998,61.545363431999995
ZTF18aaxmhvk,244.67796791799998,40.0725960913
ZTF18aazhkfk,212.775169307,12.381400131400001
ZTF18aazhklh,213.57675873099998,10.678243760700001
ZTF18aaxnmge,169.863257875,29.3737209929
ZTF18aayyxxp,223.598245502,73.1783151974
ZTF18aazgfkq,174.623452477,20.5286767475
ZTF18aaxtcdm,231.54977274400002,6.35717193727
ZTF18abajlni,308.133816642,58.158002678100004
ZTF18aazsabq,283.84098991,56.5884066267
ZTF18abauprj,254.77099268900002,47.2364389309
ZTF18abaeawz,281.585064809,70.73705412439999
ZTF18abaxlpi,276.559049839,45.0102062292
ZTF18aazcoob,269.51112441,69.0727666356
ZTF18aaytovs,266.472480304,31.710529002199998
ZTF18aazxthg,202.980707215,23.283222235700002
ZTF18abbovuc,186.347811035,31.824015657399997
