# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-02-03 at 09:37:44
#
# Requested input R.A. = 67.95408333333332 degrees
# Requested input Dec. = -20.315805555555556 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459523.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 303 1 2 ZTF_g 590482310215 0 2.4542 161.451 4.26616 25.6513 1.94592e-05 0.038529 0.00725797 2.95601e-05 482 30. 0.09048 0.08724 20.1392 25.6513 1 2458344.9823148 303120102 -27.0430656797871 20.1560824648754 -1.49246651991837 1.09969112900261 -56.5603877558862 33.4174070220579 -1.70394205582837 1.05858483008438 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 1 303 1 2 ZTF_r 603498550215 0 2.7066 282.672 12.2598 26.048 1.61519e-05 0.0344403 0.098656 2.22071e-05 493 30. 0.05153 0.071599 19.2815 26.048 1 2458357.9985532 303120202 -23.2348095442115 64.7430682582332 -0.399209291356324 0.899723818254409 -80.7245997946809 101.261714538485 -0.802556869485888 1.0709852008608 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 2 303 1 2 ZTF_g 606479250215 8 5.1292 222.597 11.7731 26.0315 0.000106118 0.0496099 0.0357208 0.000217001 157 30. 0.07334 0.078845 18.9204 26.0315 1 2458360.9792593 303120102 87.563524949382 94.7493462169618 1.02802059512438 0.913785299161644 105.588419344197 121.647406571162 0.873833371542669 1.19384485686443 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 3 303 1 2 ZTF_r 609480720215 0 2.3893 263.722 9.52684 25.96 1.68851e-05 0.0355432 0.115508 2.32766e-05 495 30. 0.056345 0.072124 19.5806 25.96 1 2458363.9807292 303120202 -3.93972379650658 49.3769408505571 -0.0887557293288253 0.941216172982288 45.6984868158896 83.007294708683 0.55424368322463 1.05910331847161 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 4 303 1 2 ZTF_g 609502550215 0 3.0113 210.24 9.39546 25.9658 2.86181e-05 0.0402943 -0.00345229 5.51761e-05 337 30. 0.0533 0.075679 19.4018 25.9658 1 2458364.0025579 303120102 69.2555858564986 53.4715978878391 1.44074276142013 1.09188012381478 190.696443153514 78.1155810010245 2.45765047394754 1.09056507578478 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 5 303 1 2 ZTF_r 612501060215 0 2.311 282.061 5.41002 26.0282 9.1328e-06 0.0261703 0.107698 1.26376e-05 497 30. 0.055118 0.080049 20.3196 26.0282 1 2458367.0010648 303120202 -45.5062449045783 25.0867868931736 -2.0178122778329 0.987486577764429 -38.4165519228305 43.381264841078 -0.891520561975448 1.05748018175483 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 6 303 1 2 ZTF_r 615420310215 0 2.3678 253.877 6.31442 25.9156 1.14771e-05 0.029339 0.104146 1.58789e-05 500 30. 0.068219 0.071587 19.9658 25.9156 1 2458369.9203125 303120202 1.4214026964264 27.32077698748 0.0578733856539279 1.09891335123492 -17.365246865035 47.2782891341184 -0.369772323025176 1.05048588983031 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 7 303 1 2 ZTF_r 618502180215 0 1.925 289.35 5.43596 26.0502 7.7203e-06 0.0237572 0.101613 1.05336e-05 499 30. 0.044299 0.055898 20.4517 26.0502 1 2458373.0021875 303120202 -49.5080654831459 21.8867212214674 -2.51622835243054 0.897580790044963 -28.5853291383236 40.244829900059 -0.715069564120142 1.04786535481597 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 8 303 1 2 ZTF_g 622480550215 0 2.2688 233.392 4.11658 26.0951 1.12783e-05 0.029192 -0.0676599 1.56316e-05 501 30. 0.044285 0.065306 20.5888 26.0951 1 2458376.9805556 303120102 25.0847787817493 19.7711701082993 1.41134342313207 1.08602433688803 -40.418232082932 34.8649961970431 -1.16708606453027 1.03926495539544 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 9 303 1 2 ZTF_r 622502240215 0 6.1567 288.126 6.1102 26.0482 1.70968e-05 0.0357972 0.118525 2.3651e-05 498 30. 0.061991 0.066796 19.9787 26.0482 1 2458377.0022454 303120202 11.4719264553751 32.2343787814244 0.395887555621516 0.979758058752149 36.682591992801 49.3932762969784 0.747665555497099 1.08970997767012 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 10 303 1 2 ZTF_g 625459350215 0 2.4421 233.232 4.35005 26.0797 1.30802e-05 0.0315285 -0.0432644 1.82969e-05 497 30. 0.052102 0.07408 20.5056 26.0797 1 2458379.9593519 303120102 -7.07013919997747 22.5276563016732 -0.349113589164774 1.01637900289463 -47.2886712288917 37.6028804288496 -1.26605096757009 1.05798648833619 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 11 303 1 2 ZTF_r 625501580215 0 2.4085 288.222 6.40614 26.0558 8.355e-06 0.0248339 0.106405 1.14345e-05 496 30. 0.05453 0.056988 20.1216 26.0558 1 2458380.0015856 303120202 -18.3159770550526 30.1214626649946 -0.676408155063225 0.9631738869023 -81.3432712814229 49.0634635187506 -1.66908564990086 1.07900134441779 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 12 303 1 2 ZTF_g 628397000215 0 2.6508 205.2 9.60962 25.9268 2.90375e-05 0.0426963 -0.0411467 5.14423e-05 382 30. 0.08126 0.07443 19.4263 25.9268 1 2458382.8970023 303120102 59.5066528323751 49.0795898504805 1.34871255037947 0.960619740067907 100.366495661841 79.4433910707458 1.27188012020686 1.04679225556629 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 13 303 1 2 ZTF_g 630434890215 2048 2.6672 126.785 17.1667 25.3219 0.00159351 0.204034 0.103864 0.00366686 179 30. 0.071538 0.0693 18.1613 25.3219 1 2458384.9348958 303120102 -41.6647596222402 74.8144645230222 -0.619495434085255 1.05454410530031 -84.9498684856169 121.305087650037 -0.705015860374959 1.04621466329712 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 14 303 1 2 ZTF_r 632420740215 0 2.2264 278.474 16.1466 26.0123 1.59181e-05 0.0345549 0.0834379 2.20907e-05 504 30. 0.045496 0.058453 19.0789 26.0123 1 2458386.9207407 303120202 38.6215407003101 67.1950340104927 0.639362584519474 1.02823040162485 43.8727914175593 122.885351035336 0.359426708064437 1.04088001744305 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 15 303 1 2 ZTF_g 632499950215 0 3.1561 240.688 17.2649 26.0918 6.18629e-05 0.0469632 -0.0378322 0.000135498 228 30. 0.060873 0.100051 18.7939 26.0918 1 2458386.9999537 303120102 20.3066389870034 100.299955354542 0.225212301800925 1.00510754395142 38.4804249613541 145.682233012169 0.265918444798966 1.07181346899694 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 16 303 1 2 ZTF_r 633479440215 0 2.5935 249.366 15.9545 25.9445 2.674e-05 0.043001 0.0822303 3.72038e-05 466 30. 0.08008 0.08984 18.8916 25.9445 3 2458387.9794444 303120202 92.3192552344334 77.3606399150676 1.3274771059093 1.04264451955051 -63.5229551352935 126.024211908976 -0.507448409509653 1.05419774838925 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 17 303 1 2 ZTF_g 633520300215 0 2.8109 242.46 15.6679 26.0977 4.53262e-05 0.0463923 -0.0489752 9.19848e-05 290 30. 0.081952 0.095749 19.0281 26.0977 3 2458388.0203009 303120102 -69.1697889615245 81.0156968338159 -0.949734205807566 1.00810984537253 -59.6710370312929 126.290973373185 -0.475670772774497 1.05554623356155 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 18 303 1 2 ZTF_g 634439100215 0 1.8759 237.489 14.8791 26.0473 3.03447e-05 0.0426986 -0.00967228 5.50344e-05 357 30. 0.040012 0.051834 19.5576 26.0473 3 2458388.9391088 303120102 -63.4152600877014 47.509227132887 -1.48480907615689 1.01922511049817 -158.417022838513 87.9675126678431 -1.81298715588373 1.04253631479015 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 19 303 1 2 ZTF_r 634522330215 0 2.1405 284.941 13.1059 26.047 1.17779e-05 0.0296233 0.0862801 1.62383e-05 503 30. 0.045192 0.05089 19.4603 26.047 3 2458389.022338 303120202 -42.3216144338168 49.0582860478222 -0.959631855585194 0.965770224685734 -83.5262992969129 93.795985638624 -0.896508023833046 1.03429548712052 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 20 303 1 2 ZTF_g 635419500215 0 2.5403 228.105 14.3503 26.058 3.62592e-05 0.0462799 -0.0520945 6.82024e-05 352 30. 0.054154 0.064735 19.2087 26.058 1 2458389.9195023 303120102 35.9379448524455 61.182095042332 0.653406867422157 1.10422822532027 180.49726830048 107.103244539011 1.69661459435238 1.03186980865194 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 21 303 1 2 ZTF_g 635425030215 0 2.0536 228.189 15.2441 26.0415 2.67228e-05 0.0413421 -0.0375405 4.83458e-05 380 30. 0.046986 0.05644 19.4464 26.0415 3 2458389.9250347 303120102 2.16691741549948 49.8451867143659 0.0483586238929788 1.07144003429184 -216.193731848877 94.1471697351633 -2.31180405830379 1.03185374650261 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 22 303 1 2 ZTF_r 635500190215 0 1.6248 282.55 12.1231 26.0392 1.16845e-05 0.0293422 0.0966841 1.62119e-05 498 30. 0.044901 0.061399 19.668 26.0392 1 2458390.0001968 303120202 -2.59710423165815 43.1943163425023 -0.0668832820506973 0.96405328076014 -52.9496997018006 90.4314066847822 -0.589466878045576 1.02975661352731 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 23 303 1 2 ZTF_r 668364650215 8 5.1347 267.879 8.87909 25.9979 4.13851e-05 0.0477104 0.109222 5.97146e-05 383 30. 0.097039 0.084654 18.9757 25.9979 1 2458422.8646528 303120202 85.5688673493299 76.2805596736299 1.24783370950625 0.988630353006356 101.582797094807 88.2519599047573 1.15880670738832 1.34782234468806 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 24 303 1 2 ZTF_g 668425430215 0 3.1983 230.211 7.39057 26.0396 3.11515e-05 0.0445912 -0.0338968 5.54894e-05 385 30. 0.064872 0.066884 19.6328 26.0396 1 2458422.9254398 303120102 18.1529288546034 45.0842914969019 0.44789504461453 0.919582461520625 57.5989247204074 65.0617410308767 0.89125891612444 1.0780228198163 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 25 303 1 2 ZTF_r 671331890215 0 2.3693 235.428 7.51578 25.9494 1.6664e-05 0.0353472 0.111624 2.32625e-05 503 30. 0.060516 0.062191 19.8109 25.9494 1 2458425.8318981 303120202 52.8436147252276 36.8876288908649 1.59355324350771 1.03516523171777 -1.6509237200478 59.9828621862204 -0.0277086275264451 1.05841548345867 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 26 303 1 2 ZTF_g 671371210215 0 2.1815 233.653 4.65908 26.082 1.16431e-05 0.0297512 -0.0411471 1.65334e-05 505 30. 0.046769 0.055886 20.5342 26.082 1 2458425.8712153 303120102 36.8555556979992 20.9257921915449 1.95918684799255 1.13154963119909 11.3109726583072 36.0190206864716 0.316142762710191 1.05000232492819 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 27 303 1 2 ZTF_r 674272870215 0 4.0504 260.291 5.50387 25.9971 2.44539e-05 0.0428715 0.113665 3.41662e-05 504 30. 0.073409 0.083579 19.6545 25.9971 1 2458428.7728704 303120202 -19.5206679797201 46.3576436541707 -0.468412119239276 0.975984515025388 -49.4572817355298 59.1951832457611 -0.841122142773403 1.13540099654261 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 28 303 1 2 ZTF_g 674313270215 0 3.5655 227.426 3.7343 26.0431 1.82287e-05 0.0368218 -0.00507926 2.76299e-05 470 30. 0.072099 0.074606 20.2031 26.0431 1 2458428.8132755 303120102 11.326155866572 32.9978570797786 0.381813779495511 0.905667228223683 26.4379070110544 44.8023012948448 0.594075908304715 1.11041854234855 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 29 303 1 2 ZTF_g 676360780215 0 2.4365 235.544 3.53416 26.1273 1.09355e-05 0.0288296 -0.0894637 1.52945e-05 508 30. 0.0544 0.061344 20.6487 26.1273 1 2458430.860787 303120102 16.8563055755862 19.2957567349835 0.971751862081912 1.07976867826548 34.8161569163133 32.8849685835158 1.06585614175891 1.0408420338666 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 30 303 1 2 ZTF_r 677355200215 8 5.0346 260.782 7.15027 25.9989 3.50121e-05 0.0469343 0.103889 5.01277e-05 429 30. 0.077809 0.105009 19.2115 25.9989 1 2458431.8552083 303120202 -56.4214079591301 64.8907653485621 -0.967198967293267 1.01691859078376 -71.7519724831388 75.4739465298722 -0.957088233321225 1.2916395063842 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 31 303 1 2 ZTF_g 677411310215 0 3.9008 212.138 5.0803 25.9779 2.8095e-05 0.0425239 -0.0347788 4.94047e-05 396 30. 0.073318 0.100995 19.778 25.9779 1 2458431.9113194 303120102 33.0071770723244 40.9309587413437 0.897038879607498 1.10001310933452 30.3701349098659 52.5195749559821 0.582157786719563 1.13901767096492 3.1997018334174 20.9540001869202 0.131999999284744 1.22500002384186 0.0920000001788139 2458344.982315 2458464.737211 0
 32 303 1 2 ZTF_r 678382430215 0 2.1182 279.253 6.85396 26.0527 1.19199e-05 0.0299642 0.0897771 1.66465e-05 513 30. 0.053852 0.057411 20.1426 26.0527 1 2458432.8824306 303120202 43.574566203496 30.0274566303072 1.61424453581922 1.00972395958233 121.662402164434 54.0937565738931 2.26425031649511 1.04475808087392 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
 33 303 1 2 ZTF_r 680317090215 8 4.7581 271.967 6.61505 26.027 2.30717e-05 0.0400223 0.0999193 3.20114e-05 472 30. 0.077538 0.085976 19.368 26.027 1 2458434.8170949 303120202 -51.0107814236259 61.895342177175 -0.916766656616471 0.98851181335374 -75.6903825761902 73.1140649137707 -1.04220934436553 1.25970000358259 1.93899077721814 22.3500000476837 0.303999990224838 0.639999985694885 -0.367000013589859 2458357.998553 2458448.875174 0
