#reqid,ra,dec,startjd,endjd,exitcode,lightcurve
69624,119.227246051,34.2621147138,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69624/cksumbce319e6a76f1f95c8c957dfd780ab05/forcedphotometry_req00069624_lc.txt
69626,165.189096985,22.2875025453,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69626/cksum04f571d22004e97ab7404a09e73eb07b/forcedphotometry_req00069626_lc.txt
69627,157.46508442,9.01294532052,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69627/cksum1ffbda8c3cd03c952eb83cad293d8fbe/forcedphotometry_req00069627_lc.txt
69628,179.812482315,42.5670189419,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69628/cksum41f9cf9c9c6a8497c8d00d467a6e5de6/forcedphotometry_req00069628_lc.txt
69629,186.45357651,33.5468753603,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69629/cksum2808ac80230e4c7759e8b7af7f15c144/forcedphotometry_req00069629_lc.txt
69630,218.333260935,41.2673073898,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69630/cksum27f9c41130afee41bbd994d98783c575/forcedphotometry_req00069630_lc.txt
69631,198.606072541,50.9777091717,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69631/cksuma140d2a70f99382aec8b68d60f30b54a/forcedphotometry_req00069631_lc.txt
69632,237.514824803,42.0884930897,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69632/cksum55f0d741b2b657758fb606a3bc180fa0/forcedphotometry_req00069632_lc.txt
69633,251.895474865,49.8335007013,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69633/cksume26a03cd41f28640ce8903bb37a4899a/forcedphotometry_req00069633_lc.txt
69634,248.048162904,42.7133782422,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69634/cksumb8ce51a77b858389ee52d87dff1d6bdc/forcedphotometry_req00069634_lc.txt
69635,215.730566403,32.8506531785,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69635/cksuma5b3cdc9ea7a04a100c9ba34359796cd/forcedphotometry_req00069635_lc.txt
69636,176.549820974,9.35499529527,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69636/cksum00f4d00c8443df9625c0e783df351051/forcedphotometry_req00069636_lc.txt
69637,119.854224016,16.4262582257,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69637/cksum04fe7d776b17e7992973e3cc9ed40a3a/forcedphotometry_req00069637_lc.txt
69638,128.939298471,28.2702540436,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69638/cksum5ba3ea39ff5ade76f0f332440a4cd055/forcedphotometry_req00069638_lc.txt
69639,160.860343,11.0900957092,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69639/cksum3740349a4c1769e5f7c39b3d9b8641ab/forcedphotometry_req00069639_lc.txt
69640,142.845985487,17.807764872,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69640/cksumacd6e7162b79caf70ab9d286a02bc128/forcedphotometry_req00069640_lc.txt
69641,144.171018684,10.2377790677,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69641/cksum87a6a4b2a9a44e6cbaa0e339a7362c66/forcedphotometry_req00069641_lc.txt
69642,176.766981317,19.5508050751,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69642/cksum1564a68b658dc254a8bb04c6cd86cc04/forcedphotometry_req00069642_lc.txt
69643,162.318079799,26.3730924389,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69643/cksum111af035a826b9aabce883e53fc6648f/forcedphotometry_req00069643_lc.txt
69644,182.65924317,39.396631417,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69644/cksum586b83171ded0d2f5e530447c8c3d186/forcedphotometry_req00069644_lc.txt
69645,195.11047293,18.6193699242,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69645/cksum3010a1608bb144f088d0ba8f7660d0a8/forcedphotometry_req00069645_lc.txt
69646,207.363199149,26.4621048191,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69646/cksum920b89fbd7bc93bc6c0d8ccbc2019455/forcedphotometry_req00069646_lc.txt
69647,138.730105228,46.9024364666,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69647/cksum7e6acc69a50d4356269c43e182e53494/forcedphotometry_req00069647_lc.txt
69648,175.283286688,24.8195486057,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69648/cksum17f131f645a03168c9fd10cc0deed0a8/forcedphotometry_req00069648_lc.txt
69649,154.314863959,43.5233857607,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69649/cksum07e05204447b79687b161da4536ed826/forcedphotometry_req00069649_lc.txt
69650,184.029587749,50.8249685905,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69650/cksum7620655df7329c47ca0074a51d4d6fe4/forcedphotometry_req00069650_lc.txt
69651,177.939730681,57.799488989,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69651/cksum50cce6d44408977476a0c51eb62d92cf/forcedphotometry_req00069651_lc.txt
69652,256.520501554,29.6683056977,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69652/cksum9b2e9dfac66bd66bb63dad8be5a7ef1e/forcedphotometry_req00069652_lc.txt
69653,198.274446566,23.4593416255,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69653/cksumca2c7baada2dca917fb39c4c1edc3fbd/forcedphotometry_req00069653_lc.txt
69654,204.122858126,47.5739871213,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69654/cksume401ddd62f0bab3def7af423ebcad309/forcedphotometry_req00069654_lc.txt
69655,261.967641837,60.0955173209,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69655/cksum3c1a59e06a3c4b88e64a860e7b7321ad/forcedphotometry_req00069655_lc.txt
69656,123.860930972,45.592222099,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69656/cksuma7a191d6e91e2284b580f5b5ab2edb76/forcedphotometry_req00069656_lc.txt
69657,194.786619565,37.3102054368,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69657/cksum431594dd7def103488b65d4890b4f1c4/forcedphotometry_req00069657_lc.txt
69658,197.865703644,65.6380929462,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69658/cksumb5aaf1aafb388297e4db76016388807f/forcedphotometry_req00069658_lc.txt
69659,184.000125811,12.6872619401,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69659/cksum12a5caac2d335753860e5ca7c3578ef0/forcedphotometry_req00069659_lc.txt
69660,192.832719461,21.2302236117,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69660/cksume72a9575c9f40fc7b97d69f2e9879c35/forcedphotometry_req00069660_lc.txt
69661,178.754835016,32.0753595135,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69661/cksumc1af7210030dcc3dd9323ffacfc17c48/forcedphotometry_req00069661_lc.txt
69662,181.361092928,20.2991149779,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69662/cksum0f70564628c3b14173883cf91af57fd6/forcedphotometry_req00069662_lc.txt
69663,208.786014766,58.4949860552,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69663/cksumc2e99d58798961d46aef48adb78c6a4d/forcedphotometry_req00069663_lc.txt
69664,199.527621654,27.8734134515,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69664/cksum61d7da99f058146561379761ee925d75/forcedphotometry_req00069664_lc.txt
69665,222.611099133,58.6624477859,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69665/cksum94e05d40cf80f5b06ee9bd4634d769b0/forcedphotometry_req00069665_lc.txt
69666,125.269369946,41.3523676078,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69666/cksumd53766aa1ab8c06b384b7944257aae4e/forcedphotometry_req00069666_lc.txt
69667,159.02674791,29.8697483209,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69667/cksume67dd97650af2d4f0a08ecb906807439/forcedphotometry_req00069667_lc.txt
69668,129.956906341,48.7837563803,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69668/cksumd85e34bc6f085d8cf9da7bb97d3dcbd0/forcedphotometry_req00069668_lc.txt
69669,159.649653146,35.9711749027,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69669/cksum47ab70cc910cad38b2203cfaddffc326/forcedphotometry_req00069669_lc.txt
69670,224.289638746,19.6999014454,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69670/cksum7e552c2d9aff59b551cd35f0431e38d8/forcedphotometry_req00069670_lc.txt
69671,224.084321349,21.0624108602,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69671/cksum7adafc0aae80e78957d22cc58d427a36/forcedphotometry_req00069671_lc.txt
69672,217.812358996,17.1930008205,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69672/cksum1b3f30bd1fdacd48b2e9cf29e368dce8/forcedphotometry_req00069672_lc.txt
69673,269.959375423,40.8261831768,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69673/cksumc7ff08d3c5c890800a859c519dd4e41b/forcedphotometry_req00069673_lc.txt
69674,260.479416108,29.3092916051,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69674/cksumc7cbb5b5db990db5f1d4f3d3da34fb1a/forcedphotometry_req00069674_lc.txt
69675,203.773264799,53.8751960532,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69675/cksum3d923e7ca4b5794310f7318b95e948fe/forcedphotometry_req00069675_lc.txt
69676,239.178521858,29.8131888774,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69676/cksum94fdce6ebf71e9112b12c8205136cbce/forcedphotometry_req00069676_lc.txt
69677,269.41771428,50.0386537658,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69677/cksum22f49a1058813a5cf387c05062a8b8ae/forcedphotometry_req00069677_lc.txt
69678,256.023920223,66.8331200991,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69678/cksumff721ec912e699167832365a48a5b28c/forcedphotometry_req00069678_lc.txt
69679,251.177254408,26.3203334078,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69679/cksum11d023721eb5200069a20819b207446a/forcedphotometry_req00069679_lc.txt
69680,268.241108477,16.8736103743,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69680/cksumf51455a95fb3e19a63ae784d61b34f41/forcedphotometry_req00069680_lc.txt
69681,168.580183363,34.478827923,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69681/cksum2d71aced205963d0e4ce72578d097cd0/forcedphotometry_req00069681_lc.txt
69682,179.904192963,27.5305698557,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69682/cksum77fe7b2cdbff4b5c5aa4056bc355314a/forcedphotometry_req00069682_lc.txt
69683,187.323286178,6.34114799182,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69683/cksum5ee943b425a2567754138da139973ddd/forcedphotometry_req00069683_lc.txt
69684,223.206419913,18.0802685064,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69684/cksumc5d1247c3cdec4da89ebfd3fa7499353/forcedphotometry_req00069684_lc.txt
69685,231.659605735,28.8662670829,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69685/cksum8afedd40a21618f23af0adf2a2b5ed84/forcedphotometry_req00069685_lc.txt
69686,228.185599344,40.1099579231,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69686/cksumb8b6b8605a7f05bed805f9c59408c37b/forcedphotometry_req00069686_lc.txt
69687,193.852764737,45.5783960717,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69687/cksum5c01a621b94f0072dd452d511cee0c43/forcedphotometry_req00069687_lc.txt
69688,233.006490653,68.2419262226,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69688/cksum867c614f77653721921f232fc9e3dd23/forcedphotometry_req00069688_lc.txt
69689,202.053022714,53.9160408685,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69689/cksum233acd17f09d09a52bbabeccbc041545/forcedphotometry_req00069689_lc.txt
69690,177.01765824,30.3600718158,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69690/cksum61d3f973f4fc249a14cbc0a13e98fb1e/forcedphotometry_req00069690_lc.txt
69691,178.181744967,25.6750279015,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69691/cksum3eada82f60e75287718f975c76beac87/forcedphotometry_req00069691_lc.txt
69692,166.066674532,50.0306373677,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69692/cksum3fd5d8309fde6d93ad5e0ef3412f13d0/forcedphotometry_req00069692_lc.txt
69693,146.888522941,10.085745972,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69693/cksumb56ba61b2890b17439b33435fc4af824/forcedphotometry_req00069693_lc.txt
69694,145.294357848,24.0224682373,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69694/cksum8c57b49b1d22c5d3fae631391a43fe65/forcedphotometry_req00069694_lc.txt
69695,115.636778626,49.809666351,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69695/cksuma19ee10562d30036fcff10e48c1e3b34/forcedphotometry_req00069695_lc.txt
69696,178.093599771,43.9589373533,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69696/cksumf29f33845daa623efab0e92ec4eb4d0e/forcedphotometry_req00069696_lc.txt
69697,199.59906087,33.7937226453,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69697/cksum2f8d996740762bedd500da20d31137f3/forcedphotometry_req00069697_lc.txt
69698,196.518359329,55.6561324866,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69698/cksumd26c3841a00be3959d49cebf4bbb672e/forcedphotometry_req00069698_lc.txt
69699,199.907561546,40.3860800853,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69699/cksum48833726273b483c29a51f27e9f0ff36/forcedphotometry_req00069699_lc.txt
69700,297.664217434,46.0945117854,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69700/cksum4b8e164572d9f63bce44948a41518147/forcedphotometry_req00069700_lc.txt
69701,155.76001904,45.7025111432,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69701/cksum7ab01e0bc84beb7c75b1cfe22a5f6902/forcedphotometry_req00069701_lc.txt
69702,255.90775762,36.4292047126,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69702/cksum351ffea69b34382e422dde7a78e4c984/forcedphotometry_req00069702_lc.txt
69703,207.970375332,47.2569960225,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69703/cksumab027923d20b701188f8241af75ea4e0/forcedphotometry_req00069703_lc.txt
69704,118.763255513,14.3575637049,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69704/cksuma451133b548f121ec264add1577f6cc5/forcedphotometry_req00069704_lc.txt
69705,122.473481139,35.0773919138,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69705/cksum871feb9c709620f9bb194f1f1c9a5495/forcedphotometry_req00069705_lc.txt
69706,280.805967344,45.2078290704,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69706/cksum45868b42c5d3224dd8b9694bac5ad48d/forcedphotometry_req00069706_lc.txt
69707,276.036978124,46.6714129685,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69707/cksuma06c3a37e6cd9e1f740fdf9a4ace3711/forcedphotometry_req00069707_lc.txt
69708,285.243460775,30.5965214766,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69708/cksumaf75aeeceaccbbaaee7de92209e19b5d/forcedphotometry_req00069708_lc.txt
69709,277.305715801,31.1065451946,2458194.5,2459523.5,57,/ztf/ops/forcedphot/lc/0/69/req69709/cksum217481b55cae582f5ae906eb8f3b5934/forcedphotometry_req00069709_lc.txt
69710,167.459344118,28.9713902623,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69710/cksumb82b0e2916a4ace182b94f2402241690/forcedphotometry_req00069710_lc.txt
69711,155.67126373,15.939111934,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69711/cksum5087d12bf3262f7a6e006253a5a5356c/forcedphotometry_req00069711_lc.txt
69712,149.754561675,29.3588224374,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69712/cksume3cffca3f557b92abe045e7c247b530f/forcedphotometry_req00069712_lc.txt
69713,151.482749779,34.4978233204,2458194.5,2459523.5,0,/ztf/ops/forcedphot/lc/0/69/req69713/cksum3069ed027073e21bbf80a5930d90ebfd/forcedphotometry_req00069713_lc.txt
69714,155.087811991,29.4126522164,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69714/cksumb0f47ea9c2f1d439cdbd06272bfb6bba/forcedphotometry_req00069714_lc.txt
69715,195.083317568,61.6550229891,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69715/cksumc83030a1d4011d627ba8bd26ff899c9b/forcedphotometry_req00069715_lc.txt
69716,175.966768408,22.4995317924,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69716/cksum91a0ba36a47aabf32152ce4ef0060f7c/forcedphotometry_req00069716_lc.txt
69717,167.96907324,39.6050532071,2458194.5,2459523.5,61,/ztf/ops/forcedphot/lc/0/69/req69717/cksum55797a995577d5f0bdabb3068f71c58c/forcedphotometry_req00069717_lc.txt
69718,206.355046848,26.4242394474,2458194.5,2459523.5,56,/ztf/ops/forcedphot/lc/0/69/req69718/cksum16e6f1dae794393063006d1da4e01229/forcedphotometry_req00069718_lc.txt
