# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.5 on 2021-04-16 at 14:39:19
#
# Requested input R.A. = 115.664577728 degrees
# Requested input Dec. = 9.17873915579 degrees
# Requested JD start = 2458913.6876505 days
# Requested JD end = 2459305.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 1510 12 1 ZTF_r 1159187654515 0 1.9607 354.652 16.2571 26.2466 2.6292e-06 0.0271382 0.0882228 6.75147e-06 1936 30. 0.03573 0.041438 19.4604 26.2466 2 2458913.6876505 1510120245 -22.549279323863 65.1572523972832 -0.384968065863714 1.318130679257 -69.0488818066682 120.244810625519 -0.578103367927003 1.04719279427418 null null null null null 2458432.893530 2458783.995671 57
 1 515 2 0 ZTF_r 1161149980415 0 1.9624 173.73 18.2382 26.2848 2.2659e-06 0.0252159 0.0716485 6.00477e-06 1952 30. 0.035825 0.039661 19.3485 26.2848 1 2458915.6499884 515120204 13.605515030162 74.7020493089013 0.202598987913375 3.33880322296979 157.897743972491 146.52885915779 1.0848456425338 1.03004902184422 null null null null null 2458154.710752 2458190.666921 57
 2 515 2 0 ZTF_g 1161191230415 0 2.2836 182.679 18.6297 26.3548 6.985e-06 0.038647 -0.0610814 2.16959e-05 1639 30. 0.039716 0.039224 19.2759 26.3548 1 2458915.6912384 515120104 61.2465282463313 79.1080503639539 0.861222952137585 1.05121794498775 127.253852333516 144.651121011348 0.885654486842664 1.0347404385984 null null null null null 2458167.706736 2458438.941840 57
 3 515 2 0 ZTF_g 1163223690415 1 2.3981 101.619 27.9096 25.7277 2.57319e-05 0.04172 -0.0578095 9.68236e-05 707 30. 0.039965 0.044926 18.1416 25.7277 1 2458917.7236921 515120104 107.897292251521 121.242012629313 0.989947606502463 1.06136769844112 222.344287281358 216.352144022814 1.03461784425466 1.03754786275666 null null null null null 2458167.706736 2458438.941840 57
 4 515 2 0 ZTF_r 1202165940415 0 2.0004 168.818 7.64217 26.234 1.5142e-06 0.0206638 0.087179 4.01488e-06 1968 30. 0.040798 0.040082 20.271 26.234 1 2458956.6659491 515120204 21.6107536875449 33.7488521669904 0.71230453259965 3.88799927869362 52.2097751775419 62.0390437520407 0.847231160224295 1.03606124743127 null null null null null 2458154.710752 2458190.666921 57
 5 515 2 0 ZTF_g 1202192750415 0 2.0381 167.099 6.32077 26.2398 2.3988e-06 0.0261674 -0.0485667 6.40713e-06 1963 30. 0.040848 0.040617 20.4543 26.2398 1 2458956.6927546 515120104 7.34486744784409 25.3185363674962 0.322700893256961 1.0931921400753 104.611129331959 47.9935814372705 2.19437033355082 1.0357986403411 null null null null null 2458167.706736 2458438.941840 57
 6 515 2 0 ZTF_r 1210222980415 0 1.9782 147.534 8.86463 26.0866 1.9053e-06 0.0231933 0.0906135 5.07294e-06 1966 30. 0.070469 0.061859 19.9392 26.0866 1 2458964.7229861 515120204 -8.91211083373398 37.0918915787668 -0.267273806147019 4.7527612397198 64.8454311081903 68.5240897853873 0.952689324616193 1.03609161057921 null null null null null 2458154.710752 2458190.666921 57
 7 515 2 0 ZTF_g 1213202670415 0 2.1416 152.01 8.48164 26.1457 3.5117e-06 0.0317337 -0.0404363 9.41948e-06 1963 30. 0.046836 0.045346 19.942 26.1457 1 2458967.7026736 515120104 9431.93183485588 63.7457476714302 164.590299387011 9.26962740689751 9187.92476594528 82.5159217500787 112.09722647086 1.03152415168526 null null null null null 2458167.706736 2458438.941840 57
 8 515 2 0 ZTF_g 1216213480415 0 2.5801 142.027 14.9521 26.0664 9.353e-06 0.0422659 -0.00651542 2.97103e-05 1453 30. 0.054597 0.056581 19.1097 26.0664 1 2458970.7134838 515120104 5498.84102376635 79.8043146568875 76.6477821527387 1.85754504611203 5781.44041742915 117.619093884762 49.4849820640321 1.05017119354393 null null null null null 2458167.706736 2458438.941840 57
 9 515 2 0 ZTF_r 1219162010415 0 2.0674 165.467 13.6409 26.2257 2.1023e-06 0.024321 0.0850203 5.59092e-06 1965 30. 0.036821 0.041079 19.5416 26.2257 1 2458973.6620139 515120204 3923.11712165468 72.1994441701965 60.4438641474684 4.35788943776314 3720.47933958994 119.607295486106 31.3152886433637 1.04098695622835 null null null null null 2458154.710752 2458190.666921 57
 10 515 2 0 ZTF_g 1219194470415 0 2.1817 151.355 15.7396 26.1211 6.6175e-06 0.0383274 -0.0132826 2.02761e-05 1638 30. 0.042359 0.048332 19.2322 26.1211 1 2458973.6944792 515120104 4158.7747010434 77.5202843838589 59.6767051781916 1.72606425168374 4262.37904676155 129.759582658952 33.0695146126924 1.03854379362741 null null null null null 2458167.706736 2458438.941840 57
 11 515 2 0 ZTF_r 1339495770415 0 2.4414 141.076 18.0265 26.061 6.3044e-06 0.0416149 0.0909291 1.64684e-05 1900 30. 0.078932 0.085394 18.9423 26.061 2 2459093.9957755 515120204 98.3396205924843 91.9187581011089 1.19008828867529 1.16136897101094 239.66740833328 154.581226879893 1.56087247454129 1.05234400476578 null null null null null 2458154.710752 2458190.666921 57
 12 515 2 0 ZTF_r 1339500480415 0 2.3025 145.203 17.1604 26.0843 5.924e-06 0.0408918 0.0839102 1.55957e-05 1965 30. 0.077103 0.099996 19.0483 26.0843 2 2459094.0004861 515120204 83.7442561366913 91.5663193913112 1.01735862842582 1.67369909210339 -33.6219834328891 159.8659702985 -0.211730047129767 1.04612987656609 null null null null null 2458154.710752 2458190.666921 57
 13 515 2 0 ZTF_r 1339510110415 0 2.2726 151.072 16.3697 26.1161 4.1489e-06 0.0339274 0.0892517 1.09702e-05 1943 30. 0.075577 0.085177 19.1807 26.1161 2 2459094.0101157 515120204 35.7838240870145 80.2434852784333 0.496057211692889 1.85682364444558 30.3239847853643 141.299226971106 0.216053684241486 1.05031658391245 null null null null null 2458154.710752 2458190.666921 57
 14 515 2 0 ZTF_r 1339514820415 0 2.2092 151.113 18.2412 26.1337 5.4731e-06 0.0387748 0.077328 1.44248e-05 1930 30. 0.079027 0.112181 19.0927 26.1337 2 2459094.0148264 515120204 -142.805705552443 89.0557265227089 -1.78376857809184 1.5923647082733 -106.232131909943 157.84801550616 -0.677535356320261 1.04909048100293 null null null null null 2458154.710752 2458190.666921 57
 15 515 2 0 ZTF_r 1341501340415 0 2.1242 138.85 17.5598 26.0359 4.9459e-06 0.0373772 0.0888378 1.29512e-05 1954 30. 0.050862 0.051696 19.0406 26.0359 2 2459096.0013426 515120204 -44.3473379960942 81.8003939278901 -0.603068940535111 1.34829159729813 -55.0244123816634 147.429677976261 -0.37573849258355 1.04732708076336 null null null null null 2458154.710752 2458190.666921 57
 16 515 2 0 ZTF_r 1341506060415 0 2.0693 141.677 17.5387 26.0494 4.4796e-06 0.0355457 0.0871036 1.17522e-05 1966 30. 0.048084 0.048307 19.1165 26.0494 2 2459096.0060648 515120204 146.791155273773 90.0302981165687 1.81370228999146 1.98621477565244 380.966787709133 164.375271977531 2.33327444164271 1.04990986099403 null null null null null 2458154.710752 2458190.666921 57
 17 515 2 0 ZTF_r 1341510770415 0 2.0121 145.734 18.1975 26.0705 4.3922e-06 0.0351564 0.0871927 1.15056e-05 1962 30. 0.052421 0.057906 19.1183 26.0705 2 2459096.0107755 515120204 -37.748364492866 86.6595183506436 -0.484547849072039 1.1268978695827 -133.129076535067 158.727557186462 -0.844375802795577 1.0531090528782 null null null null null 2458154.710752 2458190.666921 57
 18 515 2 0 ZTF_r 1341515480415 0 2.0469 146.732 21.2055 26.0964 4.9645e-06 0.0369357 0.0855475 1.28959e-05 1909 30. 0.044364 0.050514 18.943 26.0964 2 2459096.0154861 515120204 111.399162004258 98.5204988565474 1.25779574948366 1.72485297217945 149.348903768024 182.750224656083 0.822733747718389 1.04706958809159 null null null null null 2458154.710752 2458190.666921 57
 19 515 2 0 ZTF_r 1343497380415 2048 3.0987 30.6655 25.7531 25.0089 0.00601578 0.429653 -0.202654 0.0170723 230 30. 0.17564 0.138381 17.2915 25.0089 2 2459097.9973843 515120204 27.5743464368483 139.268894950039 0.220244919499914 1.38444102872171 156.079480178843 206.017274174646 0.762706355995482 1.07909241615778 null null null null null 2458154.710752 2458190.666921 57
