diffflux_grid,g_chi_interp,r_chi_interp,i_chi_interp
-398107.1705534969,6.60466495,30.37645495,4.02009655
-395329.0997899852,6.60466495,30.37645495,4.02009655
-392570.4149550315,6.60466495,30.37645495,4.02009655
-389830.9807697845,6.60466495,30.37645495,4.02009655
-387110.66289939306,6.60466495,30.37645495,4.02009655
-384409.3279464224,6.60466495,30.37645495,4.02009655
-381726.84344431106,6.60466495,30.37645495,4.02009655
-379063.07785087585,6.60466495,30.37645495,4.02009655
-376417.9005418609,6.60466495,30.37645495,4.02009655
-373791.18180453137,6.60466495,30.37645495,4.02009655
-371182.7928313162,6.60466495,30.37645495,4.02009655
-368592.6057134865,6.60466495,30.37645495,4.02009655
-366020.4934348868,6.60466495,30.37645495,4.02009655
-363466.3298657055,6.60466495,30.37645495,4.02009655
-360929.98975628987,6.60466495,30.37645495,4.02009655
-358411.34873100324,6.60466495,30.37645495,4.02009655
-355910.2832821291,6.60466495,30.37645495,4.02009655
-353426.67076381005,6.60466495,30.37645495,4.02009655
-350960.3893860365,6.60466495,30.37645495,4.02009655
-348511.3182086737,6.60466495,30.37645495,4.02009655
-346079.3371355312,6.60466495,30.37645495,4.02009655
-343664.3269084734,6.60466495,30.37645495,4.02009655
-341266.16910157114,6.60466495,30.37645495,4.02009655
-338884.7461152969,6.60466495,30.37645495,4.02009655
-336519.94117075374,6.60466495,30.37645495,4.02009655
-334171.6383039519,6.60466495,30.37645495,4.02009655
-331839.72236012126,6.60466495,30.37645495,4.02009655
-329524.07898806443,6.60466495,30.37645495,4.02009655
-327224.5946345489,6.60466495,30.37645495,4.02009655
-324941.15653874085,6.60466495,30.37645495,4.02009655
-322673.6527266721,6.60466495,30.37645495,4.02009655
-320421.9720057517,6.60466495,30.37645495,4.02009655
-318186.00395931245,6.60466495,30.37645495,4.02009655
-315965.63894119684,6.60466495,30.37645495,4.02009655
-313760.76807037974,6.60466495,30.37645495,4.02009655
-311571.2832256288,6.60466495,30.37645495,4.02009655
-309397.0770402051,6.60466495,30.37645495,4.02009655
-307238.0428965941,6.60466495,30.37645495,4.02009655
-305094.0749212801,6.60466495,30.37645495,4.02009655
-302965.06797955366,6.60466495,30.37645495,4.02009655
-300850.9176703564,6.60466495,30.37645495,4.02009655
-298751.52032116044,6.60466495,30.37645495,4.02009655
-296666.7729828872,6.60466495,30.37645495,4.02009655
-294596.5734248555,6.60466495,30.37645495,4.02009655
-292540.82012977044,6.60466495,30.37645495,4.02009655
-290499.4122887453,6.60466495,30.37645495,4.02009655
-288472.2497963575,6.60466495,30.37645495,4.02009655
-286459.23324573995,6.60466495,30.37645495,4.02009655
-284460.26392370596,6.60466495,30.37645495,4.02009655
-282475.24380591064,6.60466495,30.37645495,4.02009655
-280504.0755520407,6.60466495,30.37645495,4.02009655
-278546.66250104347,6.60466495,30.37645495,4.02009655
-276602.9086663862,6.60466495,30.37645495,4.02009655
-274672.71873134933,6.60466495,30.37645495,4.02009655
-272755.9980443515,6.60466495,30.37645495,4.02009655
