# ------------------------------------------------------------------
# Generated by forcedphotometry_trim_cforcepsfaper_threads.pl, v3.7 on 2023-03-17 at 16:55:21
#
# Requested input R.A. = 186.8409583 degrees
# Requested input Dec. = 64.7999444 degrees
# Requested JD start = 2458194.6 days
# Requested JD end = 2459982.769 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpse eing = Effective FWHM of sci image [pixels]
# sc ibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference betwee n instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 820 16 3 ZTF_r 444372306315 0 2.0859 163.389 6.95217 25.8794 1.56487e-05 0.0292638 0.104339 2.14262e-05 388 30. 0.049403 0.050423 19.9833 25.8794 2 2458198.8723032 820120263 -0.75678620789 38.004902 -0.022151 1.149971 -80.62277199201 70.908417 -1.144656 1.038630 2.95219005672719 19.1220001220703 0.119999997317791 8.16499996185303 0.572000026702881 2458182.873079 2458218.852581 0
 1 820 16 3 ZTF_r 445252216315 0 2.4823 30.5858 9.86983 24.1286 0.000167631 0.060563 0.0872167 0.00027969 161 30. 0.057295 0.055112 17.6045 24.1286 2 2458199.7522106 820120263 94.22840287048 51.569603 2.032557 1.043730 184.57193042923 91.452225 2.031826 1.035329 2.95219005672719 19.1220001220703 0.119999997317791 8.16499996185303 0.572000026702881 2458182.873079 2458218.852581 0
 2 819 13 3 ZTF_r 445254145115 0 2.2995 25.8309 10.7121 23.8745 0.000166417 0.0503798 0.0945566 0.000296528 123 30. 0.060238 0.050965 17.3352 23.8745 2 2458199.7541435 819120251 50.15735422559 51.396324 1.085569 0.998013 44.24396038126 94.279572 0.472445 1.041013 1.47961950689414 18.351000213623 0.122000001370907 10.5550003051758 0.857999980449677 2458160.812153 2458219.771690 0
 3 819 13 3 ZTF_r 445276295115 0 2.3344 169.844 7.24166 25.8742 1.29216e-05 0.025892 0.0928316 1.81001e-05 360 30. 0.049333 0.047097 19.8668 25.8742 2 2458199.7762963 819120251 31.27852485192 38.596809 0.901467 1.028994 1.72972122801 69.377434 0.025100 1.045177 1.47961950689414 18.351000213623 0.122000001370907 10.5550003051758 0.857999980449677 2458160.812153 2458219.771690 0
 4 820 16 3 ZTF_r 445277256315 0 2.2666 166.561 6.40622 25.9177 1.36458e-05 0.0271286 0.0985622 1.85773e-05 385 30. 0.051751 0.045373 20.0005 25.9177 2 2458199.7772569 820120263 -11.62871902891 36.879116 -0.350757 1.167804 14.54441751125 68.048912 0.215174 1.035295 2.95219005672719 19.1220001220703 0.119999997317791 8.16499996185303 0.572000026702881 2458182.873079 2458218.852581 0
 5 820 16 3 ZTF_r 445297906315 33554480 2.4324 9.41302 9.28298 22.8767 0.00120258 0.0776282 0.0495152 0.00230586 48 30. 0.057628 0.0603 16.4511 22.8767 2 2458199.7979051 820120263 -31.28764939742 45.698605 -0.761596 1.106411 -1.10539410709 80.906868 -0.013755 1.057243 2.95219005672719 19.1220001220703 0.119999997317791 8.16499996185303 0.572000026702881 2458182.873079 2458218.852581 0
 6 819 13 3 ZTF_r 445319075115 0 2.0638 67.8084 8.10985 24.8674 4.49596e-05 0.0475359 0.103867 6.32956e-05 344 30. 0.053665 0.042242 18.7849 24.8674 2 2458199.8190741 819120251 38.88829871016 38.693741 1.117977 0.939276 127.80276899768 73.954224 1.739773 1.047691 1.47961950689414 18.351000213623 0.122000001370907 10.5550003051758 0.857999980449677 2458160.812153 2458219.771690 0
 7 820 16 3 ZTF_r 445321596315 0 1.9878 63.4841 7.29088 24.8688 4.17963e-05 0.0465244 0.0982658 5.72761e-05 365 30. 0.054423 0.046508 18.8738 24.8688 2 2458199.8215972 820120263 -38.8364479185 35.341244 -1.222398 1.049604 43.89238923317 68.627419 0.643883 1.036733 2.95219005672719 19.1220001220703 0.119999997317791 8.16499996185303 0.572000026702881 2458182.873079 2458218.852581 0
 8 819 13 3 ZTF_g 448260615115 0 2.7536 126.472 7.38447 26.2504 2.2991e-05 0.0334714 -0.0887101 3.62137e-05 327 30. 0.053412 0.049956 20.0836 26.2504 2 2458202.7606134 819120151 -108.18989960604 42.201469 -2.851766 0.969879 -144.27952013081 69.383888 -2.093444 1.066125 null null null null null 2458202.760613 2458233.738958 57
 9 819 13 3 ZTF_g 448281585115 0 2.7075 129.438 7.43509 26.2453 2.05633e-05 0.031384 -0.0764968 3.30521e-05 320 30. 0.052967 0.046444 20.0676 26.2453 1 2458202.7815856 819120151 15.38093350779 44.353397 0.385754 0.958017 -21.28969567473 70.830063 -0.302599 1.078116 null null null null null 2458202.760613 2458233.738958 57
 10 819 13 3 ZTF_g 448282985115 0 2.4989 126.906 7.2567 26.2492 2.4962e-05 0.0352112 -0.0836325 3.83182e-05 334 30. 0.052741 0.043212 20.1771 26.2492 2 2458202.7829861 819120151 -23.06517624289 34.605183 -0.741431 1.177516 -40.06465424852 57.999599 -0.695427 1.072356 null null null null null 2458202.760613 2458233.738958 57
 11 820 16 3 ZTF_g 448284916315 0 2.5678 114.181 6.82343 26.2396 2.70243e-05 0.0371355 -0.0653935 4.1005e-05 353 30. 0.054472 0.049052 20.1892 26.2396 2 2458202.784919 820120163 -2.11447003391 44.712395 -0.052605 1.014167 0.32661324103 71.589828 0.004593 1.083584 null null null null null 2458202.784919 2458244.747847 57
 12 820 16 3 ZTF_g 448297366315 0 2.3171 115.748 6.81888 26.2417 2.43554e-05 0.0361239 -0.0681732 3.55002e-05 364 30. 0.049239 0.044438 20.3416 26.2417 2 2458202.7973611 820120163 20.9818968721 38.974430 0.598852 1.051444 36.49944017046 66.918915 0.549101 1.064279 null null null null null 2458202.784919 2458244.747847 57
 13 819 13 3 ZTF_g 448299275115 0 2.2133 129.483 7.31327 26.2449 2.23369e-05 0.0338846 -0.0772232 3.19142e-05 353 30. 0.047758 0.043279 20.4051 26.2449 2 2458202.7992708 819120151 8.80555588417 32.818768 0.298462 1.099182 39.1205309731 58.536232 0.672814 1.061412 null null null null null 2458202.760613 2458233.738958 57
 14 820 16 3 ZTF_g 448300686315 0 2.5888 115.412 6.75959 26.2442 2.30759e-05 0.0345155 -0.0665918 3.53128e-05 350 30. 0.053822 0.049245 20.2367 26.2442 1 2458202.8006829 820120163 -27.71763725917 44.054676 -0.699873 0.878716 14.250323253 70.251785 0.204213 1.085078 null null null null null 2458202.784919 2458244.747847 57
 15 820 16 3 ZTF_g 448325656315 0 2.1214 115.983 6.36773 26.2457 1.82003e-05 0.0313623 -0.0651545 2.57405e-05 377 30. 0.050828 0.042351 20.5199 26.2457 2 2458202.8256597 820120163 -24.77383593631 35.727123 -0.771347 0.916146 5.43327358977 63.641022 0.085949 1.061439 null null null null null 2458202.784919 2458244.747847 57
 16 820 16 3 ZTF_g 448326576315 0 1.9748 115.713 6.3525 26.2414 2.03262e-05 0.0333807 -0.0593426 2.84392e-05 383 30. 0.049715 0.042641 20.4648 26.2414 1 2458202.8265741 820120163 -57.08205361181 36.118511 -1.758023 0.951234 -17.52720526412 65.927307 -0.267647 1.059178 null null null null null 2458202.784919 2458244.747847 57
 17 819 13 3 ZTF_g 448328905115 0 1.9632 130.22 6.90724 26.2363 2.09997e-05 0.0330053 -0.0727054 3.00887e-05 356 30. 0.048253 0.042992 20.4875 26.2363 2 2458202.8289005 819120151 6.01776720893 32.102348 0.208523 1.019233 -67.2889848158 58.457298 -1.158832 1.064193 null null null null null 2458202.760613 2458233.738958 57
 18 820 16 3 ZTF_g 448338336315 0 1.6787 115.747 6.19791 26.2269 2.17654e-05 0.0346861 -0.0559699 3.02062e-05 385 30. 0.051746 0.041641 20.5417 26.2269 2 2458202.8383333 820120163 -4.8484598495 32.285637 -0.167051 1.105030 -40.21835804461 60.021023 -0.674584 1.054731 null null null null null 2458202.784919 2458244.747847 57
 19 820 16 3 ZTF_g 449352706315 0 2.4086 113.906 7.57633 26.2791 2.70997e-05 0.0378936 -0.123203 3.97242e-05 364 30. 0.051755 0.044653 20.1002 26.2791 2 2458203.8527083 820120163 35.26119478515 45.044758 0.870778 0.909568 24.56784117617 78.858429 0.313642 1.041742 null null null null null 2458202.784919 2458244.747847 57
 20 820 16 3 ZTF_g 449364246315 0 2.5481 112.477 7.59547 26.2405 3.15999e-05 0.0405412 -0.0994986 4.78636e-05 352 30. 0.056434 0.052759 20.0756 26.2405 2 2458203.8642477 820120163 -1.96012677358 43.229939 -0.050438 0.991219 17.01103271593 74.353996 0.230325 1.045558 null null null null null 2458202.784919 2458244.747847 57
 21 819 13 3 ZTF_g 450187855115 8 6.7365 120.061 10.7501 26.1338 0.0133217 0.0730354 -0.2087 0.039274 5 30. 0.085601 0.069058 18.8079 26.1338 2 2458204.6878588 819120151 -255.08616707055 105.907593 -2.679259 1.147124 -449.59933362041 128.135620 -3.532409 1.157048 null null null null null 2458202.760613 2458233.738958 57
 22 819 13 3 ZTF_g 450210485115 8 5.6039 121.184 10.444 26.2509 8.77981e-05 0.0393248 -0.126051 0.000218204 124 30. 0.072051 0.062364 18.9813 26.2509 2 2458204.7104861 819120151 -24.90136831536 90.308327 -0.306726 1.001764 -8.35115946055 106.792633 -0.078726 1.125923 null null null null null 2458202.760613 2458233.738958 57
 23 820 16 3 ZTF_g 450211996315 0 3.8959 111.228 9.92591 26.2389 4.98799e-05 0.0416479 -0.131194 9.73967e-05 218 30. 0.072351 0.060385 19.3008 26.2389 2 2458204.7119907 820120163 -185.06842599636 74.944427 -2.746931 1.021104 -185.76324783794 100.148911 -1.867363 1.064887 null null null null null 2458202.784919 2458244.747847 57
 24 820 16 3 ZTF_g 450273516315 0 2.9971 113.201 9.40124 26.2513 3.65038e-05 0.0403176 -0.114848 6.52197e-05 296 30. 0.063545 0.05435 19.6397 26.2513 2 2458204.7735185 820120163 17.12621634004 56.116669 0.339488 1.064757 -59.50479875677 87.099701 -0.687782 1.047437 null null null null null 2458202.784919 2458244.747847 57
 25 820 16 3 ZTF_g 450310916315 0 3.6445 116.087 9.18063 26.2641 4.82315e-05 0.0433762 -0.0914928 9.2188e-05 249 30. 0.070143 0.061758 19.5175 26.2641 2 2458204.8109144 820120163 -118.653971536 71.742775 -1.839751 0.950762 -125.59130731932 97.296356 -1.299506 1.086997 null null null null null 2458202.784919 2458244.747847 57
 26 819 13 3 ZTF_g 450312325115 0 3.8868 131.017 10.0145 26.2621 5.22801e-05 0.044073 -0.0850646 9.97826e-05 232 30. 0.072016 0.06108 19.3792 26.2621 2 2458204.8123264 819120151 -48.5302032431 72.284950 -0.746825 0.924633 -7.89198900002 96.803047 -0.082075 1.087970 null null null null null 2458202.760613 2458233.738958 57
 27 819 13 3 ZTF_g 450313735115 0 4.0292 130.869 9.9974 26.2515 4.90959e-05 0.0412623 -0.0703791 9.98999e-05 221 30. 0.074488 0.063948 19.3357 26.2515 2 2458204.8137384 819120151 -96.75489063273 72.244530 -1.489782 0.997721 -230.55836713221 94.163849 -2.464971 1.099569 null null null null null 2458202.760613 2458233.738958 57
 28 820 16 3 ZTF_g 450331386315 0 3.9676 115.137 9.19101 26.2584 5.82546e-05 0.0457283 -0.0722994 0.000115336 228 30. 0.081423 0.063597 19.4284 26.2584 2 2458204.8313889 820120163 97.91904150024 76.943268 1.415635 0.980318 195.3517745588 98.866119 1.989230 1.116156 null null null null null 2458202.784919 2458244.747847 57
 29 819 13 3 ZTF_g 450334285115 0 3.8949 129.898 10.0092 26.2512 5.56764e-05 0.045158 -0.079592 0.000111245 234 30. 0.075659 0.061096 19.3682 26.2512 2 2458204.8342824 819120151 -26.39528025724 74.416977 -0.394556 0.922531 28.77298628194 98.581757 0.293835 1.092953 null null null null null 2458202.760613 2458233.738958 57
 30 820 16 3 ZTF_g 450335246315 0 3.7308 114.654 9.23026 26.2525 4.14391e-05 0.039882 -0.0774441 8.02494e-05 242 30. 0.072894 0.063419 19.4753 26.2525 2 2458204.8352431 820120163 -8.74923721161 68.642189 -0.141786 1.109881 -36.23670272229 91.267570 -0.399712 1.094997 null null null null null 2458202.784919 2458244.747847 57
 31 820 16 3 ZTF_g 450357116315 0 2.9832 115.444 9.22136 26.2488 3.14344e-05 0.0377218 -0.0804896 5.4761e-05 300 30. 0.062707 0.058683 19.6694 26.2488 2 2458204.8571181 820120163 39.18071477279 60.436069 0.721159 1.053967 130.89323751441 93.588486 1.408024 1.053522 null null null null null 2458202.784919 2458244.747847 57
 32 820 16 3 ZTF_g 451263706315 0 2.6551 114.896 10.9729 26.2537 3.13861e-05 0.0374609 -0.0823579 5.5908e-05 289 30. 0.064468 0.051909 19.5832 26.2537 1 2458205.7637037 820120163 40.23027213646 68.900803 0.649507 0.972511 -22.51262914743 112.229111 -0.201946 1.056076 null null null null null 2458202.784919 2458244.747847 57
 33 820 16 3 ZTF_g 451264716315 0 2.5712 114.485 10.9556 26.2417 3.72838e-05 0.0412403 -0.0834427 6.46593e-05 299 30. 0.062604 0.050788 19.5835 26.2417 2 2458205.7647106 820120163 -58.84222698314 61.917240 -1.057140 1.056366 101.15695111419 103.476547 0.984168 1.050307 null null null null null 2458202.784919 2458244.747847 57
 34 819 13 3 ZTF_g 451266675115 0 2.6425 130.193 11.841 26.2632 3.48439e-05 0.0388421 -0.0811281 6.13314e-05 279 30. 0.059738 0.055648 19.5486 26.2632 2 2458205.7666782 819120151 -89.52737679789 62.164227 -1.602028 0.951524 -192.88477792308 103.991280 -1.867309 1.055339 null null null null null 2458202.760613 2458233.738958 57
 35 820 16 3 ZTF_g 451285436315 0 2.2446 115.102 10.8463 26.2699 2.94476e-05 0.038008 -0.0826945 4.80078e-05 324 30. 0.051759 0.047949 19.7472 26.2699 2 2458205.7854398 820120163 22.61051497363 60.318504 0.416979 1.047971 -34.70330623585 106.406975 -0.328334 1.051260 null null null null null 2458202.784919 2458244.747847 57
 36 819 13 3 ZTF_g 451287785115 0 2.6638 131.738 11.8302 26.2565 3.68187e-05 0.0397299 -0.0660371 6.55823e-05 277 30. 0.058736 0.048488 19.5336 26.2565 1 2458205.7877894 819120151 -85.79280910011 67.514450 -1.413543 1.006020 -166.11410693245 111.277763 -1.502842 1.064943 null null null null null 2458202.760613 2458233.738958 57
 37 819 13 3 ZTF_g 451288705115 0 2.7915 130.852 11.8227 26.2527 3.13969e-05 0.0362273 -0.059615 5.6713e-05 267 30. 0.063563 0.05208 19.488 26.2527 2 2458205.7887037 819120151 2.36072488601 66.163391 0.039690 0.965076 -96.843056443 105.416420 -0.924859 1.070382 null null null null null 2458202.760613 2458233.738958 57
 38 820 16 3 ZTF_g 451293336315 0 2.4673 115.164 10.7536 26.2489 3.0249e-05 0.0374743 -0.0655393 5.22264e-05 312 30. 0.061725 0.048128 19.6605 26.2489 2 2458205.7933333 820120163 50.6843241468 68.842133 0.818982 1.070900 -108.61876536589 115.515968 -0.946625 1.056428 null null null null null 2458202.784919 2458244.747847 57
 39 819 13 3 ZTF_g 451311575115 0 2.345 130.945 11.7482 26.2498 4.03093e-05 0.0420523 -0.0615609 7.00323e-05 287 30. 0.059831 0.046028 19.662 26.2498 2 2458205.8115741 819120151 -44.09411441715 59.335304 -0.826651 1.052561 -121.15618214256 100.739220 -1.210772 1.075399 null null null null null 2458202.760613 2458233.738958 57
 40 819 13 3 ZTF_g 451312505115 0 2.5177 131.515 11.7749 26.2585 3.18752e-05 0.0372552 -0.070163 5.56042e-05 286 30. 0.062977 0.050792 19.5803 26.2585 1 2458205.8125 819120151 66.03456322291 61.254040 1.199199 1.008087 230.25650618307 103.045807 2.249556 1.064711 null null null null null 2458202.760613 2458233.738958 57
 41 820 16 3 ZTF_g 451328196315 0 2.4356 113.051 10.927 26.2276 2.85154e-05 0.0368707 -0.0631649 4.84577e-05 309 30. 0.054773 0.046043 19.6408 26.2276 2 2458205.8281944 820120163 -100.88954043416 62.049694 -1.808678 0.945305 -19.44142786477 105.707657 -0.185156 1.053474 null null null null null 2458202.784919 2458244.747847 57
 42 820 16 3 ZTF_g 451330036315 0 2.3572 107.636 11.1051 26.1774 2.91933e-05 0.0371363 -0.0594989 5.00754e-05 309 30. 0.050581 0.047146 19.5985 26.1774 1 2458205.8300347 820120163 12.31986514431 60.400478 0.226893 0.953120 91.41444644368 104.614204 0.879710 1.052042 null null null null null 2458202.784919 2458244.747847 57
 43 819 13 3 ZTF_g 451332365115 0 2.4011 118.45 12.3377 26.1548 3.68205e-05 0.0391891 -0.0797093 6.66155e-05 270 30. 0.058449 0.045265 19.4681 26.1548 2 2458205.8323611 819120151 -54.55560720218 63.104210 -0.961692 1.038078 6.87201160645 108.182930 0.063950 1.063287 null null null null null 2458202.760613 2458233.738958 57
 44 819 13 3 ZTF_g 451334655115 0 2.4285 127.229 11.8833 26.2339 3.41809e-05 0.0387563 -0.0738487 6.02392e-05 286 30. 0.05746 0.046864 19.578 26.2339 2 2458205.8346528 819120151 -10.12355827542 63.069050 -0.178555 1.003973 -22.08686767544 107.570770 -0.206707 1.064932 null null null null null 2458202.760613 2458233.738958 57
 45 820 16 3 ZTF_g 451353696315 0 2.6448 90.646 12.3171 25.9992 5.20046e-05 0.0434938 -0.0551526 0.000106017 230 30. 0.05525 0.053747 19.2235 25.9992 2 2458205.8536921 820120163 -68.32146649046 69.290680 -1.096825 1.031990 -191.39055460311 111.081985 -1.734571 1.069440 null null null null null 2458202.784919 2458244.747847 57
 46 819 13 3 ZTF_g 451355595115 0 2.9178 94.5603 14.2503 25.8788 7.1822e-05 0.0423076 -0.0546962 0.000157975 175 30. 0.069273 0.048812 18.867 25.8788 2 2458205.8555903 819120151 0.57172604163 82.658272 0.007694 1.038692 -26.92920128001 124.836311 -0.217169 1.089152 null null null null null 2458202.760613 2458233.738958 57
 47 820 16 3 ZTF_g 451375016315 0 2.6641 94.5546 12.3408 26.0276 4.30821e-05 0.0403915 -0.0507993 8.48187e-05 235 30. 0.061365 0.052476 19.2288 26.0276 2 2458205.8750116 820120163 132.57557917472 73.662971 2.002023 0.950435 155.44821035953 117.392982 1.333088 1.066856 null null null null null 2458202.784919 2458244.747847 57
 48 819 13 3 ZTF_g 452210335115 0 2.9778 127.947 13.9178 26.2331 4.67628e-05 0.0399992 -0.0716811 9.16286e-05 229 30. 0.061892 0.050628 19.2257 26.2331 2 2458206.7103356 819120151 51.36032801152 71.089958 0.803664 0.989303 -63.29024754141 111.540558 -0.571241 1.049748 null null null null null 2458202.760613 2458233.738958 57
 49 820 16 3 ZTF_g 452232636315 0 2.4008 115.745 12.487 26.2573 2.90868e-05 0.0362194 -0.0865033 5.10927e-05 288 30. 0.056783 0.047209 19.5304 26.2573 2 2458206.7326389 820120163 3.08499894488 68.312996 0.050235 0.936935 127.28665306816 119.614082 1.071311 1.046783 null null null null null 2458202.784919 2458244.747847 57
 50 820 16 3 ZTF_g 452259216315 0 2.2814 118.023 12.2875 26.2842 3.36188e-05 0.0394856 -0.0941746 5.73096e-05 302 30. 0.053252 0.043382 19.6141 26.2842 2 2458206.759213 820120163 -53.57403264682 63.984039 -0.931403 1.000380 53.13269921381 114.887032 0.465593 1.045673 null null null null null 2458202.784919 2458244.747847 57
 51 819 13 3 ZTF_g 452260175115 0 2.5324 132.33 13.339 26.2539 3.02981e-05 0.0358017 -0.0745025 5.37274e-05 273 30. 0.054673 0.047234 19.4551 26.2539 2 2458206.7601736 819120151 104.52349271263 63.218987 1.839167 1.013040 108.59243768434 107.646057 1.015586 1.053812 null null null null null 2458202.760613 2458233.738958 57
 52 820 16 3 ZTF_g 452271226315 0 2.1242 117.22 12.1764 26.2565 3.1315e-05 0.0381511 -0.0639968 5.22978e-05 307 30. 0.053185 0.042235 19.6639 26.2565 2 2458206.7712269 820120163 20.77143181364 60.799198 0.380035 1.006549 76.87406375765 111.258415 0.695604 1.047649 null null null null null 2458202.784919 2458244.747847 57
 53 819 13 3 ZTF_g 452278135115 0 2.4522 131.736 13.1445 26.27 3.22911e-05 0.0369863 -0.0735346 5.84432e-05 275 30. 0.055493 0.043556 19.5113 26.27 2 2458206.7781366 819120151 -3.23495343367 63.908073 -0.056308 0.972127 65.09802207591 110.490158 0.593143 1.055190 null null null null null 2458202.760613 2458233.738958 57
 54 819 13 3 ZTF_g 452292675115 0 2.1861 133.506 13.0809 26.2802 3.19607e-05 0.0371099 -0.0657256 5.51412e-05 289 30. 0.052905 0.042661 19.6345 26.2802 2 2458206.7926736 819120151 -48.71872534283 60.543896 -0.895118 0.934524 -76.61602863902 111.559059 -0.691401 1.051037 null null null null null 2458202.760613 2458233.738958 57
 55 820 16 3 ZTF_g 452294086315 0 1.9363 117.234 12.1448 26.2739 3.16939e-05 0.0390161 -0.0734486 5.1703e-05 321 30. 0.049012 0.041874 19.7788 26.2739 2 2458206.7940856 820120163 19.08689058635 60.282845 0.352206 0.874743 131.2144531089 115.279961 1.145890 1.045480 null null null null null 2458202.784919 2458244.747847 57
 56 819 13 3 ZTF_g 452313795115 0 2.0218 132.956 13.0435 26.288 2.6274e-05 0.0340668 -0.0716153 4.42146e-05 301 30. 0.051172 0.040297 19.7359 26.288 2 2458206.8137963 819120151 -132.98994770961 55.314419 -2.674455 1.003112 -204.6684363059 106.593338 -1.933018 1.051529 null null null null null 2458202.760613 2458233.738958 57
 57 820 16 3 ZTF_g 452314756315 0 1.9873 117.069 12.087 26.2676 2.86366e-05 0.0374111 -0.0644022 4.68706e-05 324 30. 0.052214 0.042665 19.7407 26.2676 2 2458206.8147569 820120163 -75.06820577548 57.424576 -1.454163 1.009530 -55.79387603481 110.180252 -0.509798 1.044577 null null null null null 2458202.784919 2458244.747847 57
 58 819 13 3 ZTF_g 452334305115 0 1.9856 132.821 13.0853 26.2825 2.76388e-05 0.0350112 -0.0815789 4.72262e-05 299 30. 0.051759 0.041723 19.7715 26.2825 2 2458206.8343056 819120151 36.4815420653 51.074364 0.794557 1.039753 186.73189792388 97.630165 1.925527 1.054365 null null null null null 2458202.760613 2458233.738958 57
